model,mode,sensitivity,specificity,auc,accuracy,precision_res,recall_res,f1_res,threshold,n_samples,n_test,n_train,dataset,ablation,dropped_cols
rf,cv,0.8528248587570622,0.4533333333333333,0.764353421217828,0.7971014492753623,0.9083965516030974,0.8528248587570622,0.8774613831261006,0.775,345,,,Combined,drop_Proximity,1
logistic,holdout,0.885,0.833,0.833,0.875,0.958,0.885,0.92,0.685,159,32.0,127.0,Essential,drop_AAIndex,8
logistic,cv,0.8984615384615384,0.8714285714285713,0.9146593406593407,0.892741935483871,0.9675244755244755,0.8984615384615384,0.9308489929523365,0.64,159,,,Essential,drop_AAIndex,8
rf,holdout,0.923,0.833,0.83,0.906,0.96,0.923,0.941,0.835,159,32.0,127.0,Essential,drop_AAIndex,8
rf,cv,0.9535384615384614,0.9380952380952381,0.9423882783882785,0.95,0.9845925925925926,0.9535384615384614,0.967981517135156,0.755,159,,,Essential,drop_AAIndex,8
logistic,holdout,0.857,0.667,0.895,0.842,0.968,0.857,0.909,0.583,186,38.0,148.0,Nonessential,drop_AAIndex,8
logistic,cv,0.8647058823529411,0.6833333333333333,0.8323529411764706,0.84950213371266,0.9677441077441078,0.8647058823529411,0.9119881903907473,0.416,186,,,Nonessential,drop_AAIndex,8
rf,holdout,0.886,0.667,0.705,0.868,0.969,0.886,0.925,0.91,186,38.0,148.0,Nonessential,drop_AAIndex,8
rf,cv,0.8882352941176471,0.4833333333333333,0.7767156862745098,0.8544807965860597,0.9507896896132191,0.8882352941176471,0.916443868400649,0.835,186,,,Nonessential,drop_AAIndex,8
logistic,holdout,0.933,0.778,0.881,0.913,0.966,0.933,0.949,0.533,345,69.0,276.0,Combined,drop_AAIndex,8
logistic,cv,0.892316384180791,0.7666666666666666,0.906629001883239,0.8753623188405797,0.960261562998405,0.892316384180791,0.9243777342469425,0.556,345,,,Combined,drop_AAIndex,8
rf,holdout,0.983,0.667,0.818,0.942,0.952,0.983,0.967,0.825,345,69.0,276.0,Combined,drop_AAIndex,8
rf,cv,0.9396610169491526,0.7466666666666666,0.9093848085373508,0.9130434782608697,0.9594159598619901,0.9396610169491526,0.9487820684835546,0.71,345,,,Combined,drop_AAIndex,8
logistic,holdout,0.923,0.833,0.897,0.906,0.96,0.923,0.941,0.678,159,32.0,127.0,Essential,drop_LLR_Rosetta,16
logistic,cv,0.952923076923077,0.838095238095238,0.922,0.9310483870967742,0.9625661375661376,0.952923076923077,0.9569453072633666,0.674,159,,,Essential,drop_LLR_Rosetta,16
rf,holdout,0.962,0.833,0.885,0.938,0.962,0.962,0.962,0.691,159,32.0,127.0,Essential,drop_LLR_Rosetta,16
rf,cv,0.9304615384615385,0.9047619047619048,0.9499413919413919,0.925,0.9765925925925926,0.9304615384615385,0.9503747526902476,0.735,159,,,Essential,drop_LLR_Rosetta,16
logistic,holdout,0.457,1.0,0.833,0.5,1.0,0.457,0.627,0.7,186,38.0,148.0,Nonessential,drop_LLR_Rosetta,16
logistic,cv,0.6470588235294118,0.6333333333333333,0.7002450980392156,0.6453769559032716,0.9491143317230273,0.6470588235294118,0.7677627584443806,0.558,186,,,Nonessential,drop_LLR_Rosetta,16
rf,holdout,0.686,0.667,0.714,0.684,0.96,0.686,0.8,0.985,186,38.0,148.0,Nonessential,drop_LLR_Rosetta,16
rf,cv,0.8176470588235294,0.2,0.592156862745098,0.7635846372688478,0.9151986260454003,0.8176470588235294,0.8628505101455921,0.75,186,,,Nonessential,drop_LLR_Rosetta,16
logistic,holdout,0.983,0.667,0.845,0.942,0.952,0.983,0.967,0.502,345,69.0,276.0,Combined,drop_LLR_Rosetta,16
